TransactionID,Items
44,"frozen potato products, butter milk, hard cheese, semi-finished bread, processed cheese"
45,"salt, abrasive cleaner, sparkling wine, frozen potato products, bottled beer, hard cheese"
46,"prosecco, frozen fish, syrup, salt, brandy"
47,"brandy, tropical fruit, organic products"
48,"liver loaf, rice, snack products, decalcifier, whipped/sour cream, hard cheese"
49,"snack products, misc. beverages, syrup"
50,"bottled beer, frozen potato products, liver loaf, curd"
51,"frozen fish, cream, syrup, sparkling wine, specialty cheese, finished products"
52,"butter milk, organic products"
53,"abrasive cleaner, bottled beer, canned beer, salt, syrup, prosecco, misc. beverages"
54,"chicken, butter milk, bags, whipped/sour cream, rice"
55,"abrasive cleaner, chicken, bags, snack products, butter milk, processed cheese, syrup"
56,"cream cheese, finished products, whipped/sour cream, bags, salt, baby cosmetics"
57,"butter milk, sparkling wine"
58,"rice, syrup, tropical fruit, brandy, snack products"
59,"curd, rice"
60,"organic products, rice, frozen fish, semi-finished bread, specialty cheese, salt"
61,"finished products, specialty cheese, frozen fish, curd, snack products, bags"
62,"whipped/sour cream, brandy, frozen potato products, semi-finished bread, frozen fish, cream, chicken"
63,"salt, bottled beer, curd"
64,"cream cheese, bottled beer, specialty cheese, semi-finished bread, sparkling wine"
65,"misc. beverages, finished products, bags, bottled beer, abrasive cleaner, decalcifier"
66,"processed cheese, abrasive cleaner, brandy, decalcifier, cream"
67,"tropical fruit, baby cosmetics, bags, hard cheese, sparkling wine, curd"
68,"abrasive cleaner, sparkling wine, decalcifier, syrup, liver loaf"
69,"salt, cream cheese, specialty cheese"
70,"syrup, hard cheese, cream cheese"
71,"misc. beverages, organic products, chicken, frozen fish, curd, salt"
72,"salt, sparkling wine, misc. beverages, butter milk, frozen fish, snack products"
73,"specialty cheese, sparkling wine, organic products"
74,"liver loaf, brandy, bags, hard cheese, cream, finished products, rice"
75,"decalcifier, canned beer, bottled beer"
76,"hard cheese, abrasive cleaner, cream, specialty cheese, processed cheese, baby cosmetics"
77,"tropical fruit, prosecco"
78,"syrup, snack products, sparkling wine, abrasive cleaner"
79,"misc. beverages, semi-finished bread"
80,"butter milk, cream, bottled beer, bags"
81,"rice, baby cosmetics, prosecco, specialty cheese, frozen fish"
82,"bottled beer, prosecco"
83,"bottled beer, syrup, baby cosmetics"
84,"canned beer, sparkling wine, decalcifier, tropical fruit, curd, cream cheese"
85,"brandy, chicken, frozen fish, semi-finished bread"
86,"snack products, hard cheese, syrup"
87,"cream cheese, canned beer, rice, decalcifier"
88,"finished products, processed cheese, semi-finished bread, butter milk, organic products"
89,"syrup, abrasive cleaner, butter milk, misc. beverages, specialty cheese, prosecco"
90,"cream, hard cheese, misc. beverages, frozen potato products, cream cheese, tropical fruit, snack products"
91,"syrup, cream, liver loaf, bags, sparkling wine, snack products"
92,"frozen fish, snack products, semi-finished bread, bags, specialty cheese, brandy"
93,"sparkling wine, finished products"
94,"brandy, canned beer, chicken, salt"
95,"curd, hard cheese, organic products"
96,"organic products, tropical fruit"
97,"prosecco, abrasive cleaner, processed cheese, specialty cheese, curd, organic products, liver loaf"
98,"specialty cheese, misc. beverages"
99,"abrasive cleaner, butter milk"
100,"cream, tropical fruit, frozen potato products, canned beer, sparkling wine"
101,"curd, brandy, bags, specialty cheese"
102,"chicken, rice, baby cosmetics, butter milk, finished products, misc. beverages"
103,"cream cheese, syrup, organic products, tropical fruit"
104,"baby cosmetics, liver loaf, finished products, bottled beer"
105,"whipped/sour cream, semi-finished bread, cream, tropical fruit"
106,"brandy, abrasive cleaner, frozen fish"
107,"processed cheese, finished products, decalcifier"
108,"specialty cheese, bottled beer, whipped/sour cream, cream cheese, tropical fruit, frozen fish"
109,"rice, bags"
110,"curd, specialty cheese"
111,"liver loaf, bottled beer, cream, decalcifier, organic products, frozen potato products"
112,"abrasive cleaner, liver loaf, butter milk"
113,"cream, baby cosmetics, syrup, chicken, prosecco, frozen fish"
114,"liver loaf, whipped/sour cream, misc. beverages, semi-finished bread"
115,"frozen fish, rice, finished products, baby cosmetics, butter milk, canned beer"
116,"semi-finished bread, frozen fish"
117,"hard cheese, decalcifier"
118,"prosecco, decalcifier, curd, liver loaf"
119,"whipped/sour cream, salt, organic products, tropical fruit, hard cheese"
120,"brandy, frozen potato products, organic products"
121,"decalcifier, butter milk, semi-finished bread, abrasive cleaner, canned beer"
122,"baby cosmetics, chicken"
123,"frozen fish, bottled beer, processed cheese, misc. beverages, chicken, bags"
124,"finished products, butter milk"
125,"chicken, hard cheese, specialty cheese, butter milk, snack products, abrasive cleaner, bags"
126,"canned beer, liver loaf, cream cheese"
127,"liver loaf, semi-finished bread, curd, canned beer, tropical fruit"
128,"syrup, cream, snack products, misc. beverages, brandy"
129,"rice, syrup, tropical fruit"
130,"brandy, rice, bottled beer, organic products, frozen potato products, specialty cheese"
131,"semi-finished bread, tropical fruit, canned beer, brandy"
132,"bags, frozen fish"
133,"organic products, butter milk, brandy"
134,"curd, abrasive cleaner, butter milk, finished products"
135,"bags, tropical fruit, brandy"
136,"semi-finished bread, processed cheese, specialty cheese, canned beer"
137,"organic products, frozen potato products, prosecco, misc. beverages"
138,"liver loaf, curd, bottled beer, sparkling wine, finished products, specialty cheese"
139,"abrasive cleaner, liver loaf, syrup, brandy, rice, canned beer, tropical fruit"
140,"prosecco, frozen fish, abrasive cleaner, misc. beverages, organic products"
141,"rice, hard cheese, cream, semi-finished bread, specialty cheese"
142,"finished products, semi-finished bread, butter milk"
143,"liver loaf, prosecco, hard cheese, baby cosmetics, syrup, processed cheese"
144,"specialty cheese, rice, processed cheese, bags, frozen fish, hard cheese"
145,"curd, cream"
146,"bags, whipped/sour cream, baby cosmetics"
147,"specialty cheese, canned beer, bags"
148,"decalcifier, curd, semi-finished bread, baby cosmetics, cream, canned beer, prosecco"
149,"salt, chicken"
150,"canned beer, frozen potato products, processed cheese, butter milk"
151,"bottled beer, rice, hard cheese"
152,"curd, organic products, salt, frozen potato products, snack products"
153,"rice, hard cheese, whipped/sour cream, frozen potato products, tropical fruit, snack products"
154,"frozen potato products, tropical fruit, curd, chicken, specialty cheese, decalcifier, butter milk"
155,"hard cheese, sparkling wine"
156,"prosecco, frozen potato products, whipped/sour cream, bags"
157,"frozen potato products, organic products, baby cosmetics, sparkling wine, processed cheese, abrasive cleaner"
158,"cream cheese, chicken, misc. beverages, baby cosmetics, salt, butter milk, sparkling wine"
159,"snack products, rice, processed cheese"
160,"processed cheese, curd, specialty cheese"
161,"frozen fish, cream cheese, semi-finished bread, sparkling wine, frozen potato products, curd, cream"
162,"syrup, salt, butter milk, baby cosmetics, tropical fruit, frozen fish"
163,"organic products, curd"
164,"brandy, organic products"
165,"specialty cheese, brandy, cream cheese"
166,"frozen potato products, baby cosmetics, bags"
167,"sparkling wine, canned beer, tropical fruit, finished products, cream cheese, snack products, butter milk"
168,"hard cheese, decalcifier, curd, liver loaf"
169,"processed cheese, canned beer, bags, sparkling wine, bottled beer, snack products, finished products"
170,"abrasive cleaner, chicken"
171,"rice, whipped/sour cream, cream, sparkling wine, finished products, chicken"
172,"whipped/sour cream, cream, cream cheese, snack products, rice, finished products, frozen fish"
173,"abrasive cleaner, chicken, processed cheese, bottled beer, butter milk, canned beer"
174,"misc. beverages, sparkling wine"
175,"semi-finished bread, hard cheese, processed cheese, decalcifier, cream, bags, butter milk"
176,"bags, whipped/sour cream, tropical fruit, snack products, brandy"
177,"salt, semi-finished bread, sparkling wine"
178,"whipped/sour cream, syrup, organic products, curd, canned beer"
179,"brandy, syrup"
180,"organic products, bags, tropical fruit, brandy, specialty cheese"
181,"salt, hard cheese"
182,"decalcifier, whipped/sour cream, processed cheese, prosecco, canned beer, semi-finished bread, salt"
183,"whipped/sour cream, specialty cheese"
184,"baby cosmetics, chicken"
185,"specialty cheese, processed cheese, syrup, decalcifier"
186,"liver loaf, decalcifier, salt"
187,"specialty cheese, finished products, frozen fish"
188,"cream, abrasive cleaner, rice"
189,"finished products, butter milk"
190,"rice, organic products, abrasive cleaner, semi-finished bread, curd, cream cheese, processed cheese"
191,"bags, hard cheese, abrasive cleaner"
192,"semi-finished bread, chicken, organic products, finished products, salt, baby cosmetics, hard cheese"
193,"salt, sparkling wine, bags, cream cheese, frozen potato products"
194,"cream cheese, abrasive cleaner, prosecco, hard cheese"
195,"organic products, frozen potato products, processed cheese, semi-finished bread"
196,"curd, semi-finished bread, hard cheese, salt"
197,"tropical fruit, misc. beverages, curd, cream"
198,"frozen potato products, rice, decalcifier, specialty cheese, liver loaf, hard cheese"
199,"cream, specialty cheese"
200,"organic products, abrasive cleaner"
201,"hard cheese, brandy, processed cheese, abrasive cleaner, whipped/sour cream"
202,"cream cheese, organic products, specialty cheese, curd, rice, liver loaf, sparkling wine"
203,"liver loaf, brandy, bags, canned beer"
204,"brandy, frozen fish, hard cheese, specialty cheese, processed cheese, cream cheese"
205,"processed cheese, snack products, semi-finished bread, sparkling wine"
206,"bags, canned beer, baby cosmetics, butter milk"
207,"specialty cheese, bottled beer, semi-finished bread"
208,"decalcifier, frozen fish, misc. beverages, curd, canned beer, snack products, chicken"
209,"misc. beverages, finished products, liver loaf, rice"
210,"abrasive cleaner, bags, brandy, prosecco"
211,"canned beer, cream, sparkling wine, hard cheese, liver loaf, tropical fruit"
212,"brandy, semi-finished bread, liver loaf, whipped/sour cream"
213,"cream cheese, whipped/sour cream, baby cosmetics, hard cheese, finished products"
214,"frozen potato products, salt, processed cheese, decalcifier, finished products, curd, frozen fish"
215,"baby cosmetics, tropical fruit, semi-finished bread"
216,"whipped/sour cream, rice, bottled beer, finished products, tropical fruit, salt, frozen potato products"
217,"hard cheese, abrasive cleaner"
218,"sparkling wine, bottled beer, bags, cream cheese, snack products, specialty cheese"
219,"organic products, bags, chicken, specialty cheese"
220,"bags, frozen potato products, semi-finished bread, processed cheese, chicken, salt, frozen fish"
221,"abrasive cleaner, bottled beer, cream, chicken"
222,"sparkling wine, bags"
223,"frozen potato products, misc. beverages"
224,"prosecco, chicken, whipped/sour cream, specialty cheese, bottled beer"
225,"semi-finished bread, liver loaf, salt"
226,"cream cheese, decalcifier, processed cheese, sparkling wine, salt, brandy"
227,"frozen potato products, canned beer, bottled beer, snack products, cream cheese, hard cheese"
228,"hard cheese, decalcifier, cream cheese, liver loaf, bags, rice"
229,"bottled beer, prosecco, rice, hard cheese, finished products, baby cosmetics, frozen fish"
230,"whipped/sour cream, bags, abrasive cleaner, rice, cream cheese, sparkling wine, specialty cheese"
231,"specialty cheese, frozen potato products, bags, butter milk, organic products"
232,"abrasive cleaner, bags, cream, snack products, rice, chicken, frozen potato products"
233,"rice, cream cheese, cream"
234,"salt, chicken, rice, finished products, misc. beverages, processed cheese, cream"
235,"cream, prosecco, tropical fruit, organic products, rice, salt"
236,"semi-finished bread, butter milk, processed cheese, specialty cheese, finished products, abrasive cleaner, baby cosmetics"
237,"tropical fruit, abrasive cleaner, bags, snack products, liver loaf, hard cheese, specialty cheese"
238,"cream, chicken, frozen potato products, bags, baby cosmetics"
239,"whipped/sour cream, decalcifier, canned beer"
240,"specialty cheese, curd, decalcifier, butter milk, brandy, tropical fruit, frozen potato products"
241,"curd, whipped/sour cream, organic products, hard cheese, finished products, cream, butter milk"
242,"brandy, syrup, baby cosmetics, canned beer, cream cheese, frozen potato products, processed cheese"
243,"snack products, frozen potato products, rice, baby cosmetics, hard cheese"
244,"misc. beverages, whipped/sour cream, curd"
245,"brandy, hard cheese, cream"
246,"misc. beverages, hard cheese, bottled beer"
247,"prosecco, liver loaf, specialty cheese, snack products, syrup, hard cheese"
248,"prosecco, whipped/sour cream, tropical fruit, curd, butter milk, rice"
249,"salt, cream cheese, specialty cheese, brandy, rice, snack products, frozen fish"
250,"chicken, specialty cheese, abrasive cleaner, curd, whipped/sour cream, bottled beer, semi-finished bread"
251,"whipped/sour cream, decalcifier"
252,"processed cheese, finished products, bags, cream cheese, canned beer, snack products, baby cosmetics"
253,"curd, finished products, hard cheese, salt, organic products, canned beer, sparkling wine"
254,"liver loaf, frozen fish, organic products, brandy, baby cosmetics"
255,"decalcifier, butter milk, brandy, misc. beverages, bags, baby cosmetics, processed cheese"
256,"snack products, salt, prosecco, decalcifier, abrasive cleaner, brandy"
257,"processed cheese, cream cheese, baby cosmetics, abrasive cleaner"
258,"specialty cheese, chicken, hard cheese, snack products, prosecco"
259,"processed cheese, hard cheese, finished products, syrup, butter milk, bottled beer"
260,"syrup, butter milk"
261,"cream, bags, brandy, liver loaf, bottled beer, frozen potato products, tropical fruit"
262,"bottled beer, chicken, organic products, abrasive cleaner, snack products"
263,"tropical fruit, processed cheese, organic products, syrup, specialty cheese, cream cheese, bags"
264,"whipped/sour cream, frozen potato products"
265,"bottled beer, baby cosmetics"
266,"chicken, whipped/sour cream, salt, processed cheese, finished products"
267,"cream cheese, syrup, organic products, frozen fish, tropical fruit, snack products"
268,"misc. beverages, butter milk, processed cheese, semi-finished bread, snack products, abrasive cleaner, finished products"
269,"liver loaf, decalcifier, misc. beverages, whipped/sour cream, baby cosmetics, bags, canned beer"
270,"tropical fruit, semi-finished bread"
271,"curd, frozen fish, bottled beer, tropical fruit, chicken, misc. beverages, butter milk"
272,"specialty cheese, baby cosmetics, decalcifier, cream, bottled beer, chicken"
273,"chicken, sparkling wine, prosecco"
274,"sparkling wine, cream cheese, liver loaf, salt, abrasive cleaner, tropical fruit"
275,"syrup, curd, snack products, brandy, frozen potato products"
276,"baby cosmetics, frozen potato products"
277,"bags, tropical fruit, liver loaf, cream cheese, frozen fish, specialty cheese"
278,"misc. beverages, curd, frozen potato products, tropical fruit, cream cheese, abrasive cleaner, bags"
279,"brandy, hard cheese, frozen fish, snack products, curd"
280,"snack products, salt, syrup, finished products, frozen potato products, brandy"
281,"tropical fruit, specialty cheese, syrup, liver loaf, decalcifier, whipped/sour cream"
282,"decalcifier, specialty cheese"
283,"brandy, hard cheese, cream cheese, sparkling wine, bags"
284,"baby cosmetics, misc. beverages, frozen fish, snack products, rice, salt, chicken"
285,"tropical fruit, cream cheese"
286,"whipped/sour cream, decalcifier, snack products"
287,"butter milk, prosecco, specialty cheese, liver loaf"
288,"baby cosmetics, whipped/sour cream, salt"
289,"tropical fruit, abrasive cleaner, processed cheese, salt, finished products"
290,"finished products, abrasive cleaner, semi-finished bread, tropical fruit, syrup, processed cheese, rice"
291,"specialty cheese, bags, processed cheese"
292,"bottled beer, cream, sparkling wine, bags, rice, brandy"
293,"finished products, hard cheese, rice, tropical fruit, frozen potato products, cream"
294,"bottled beer, brandy, semi-finished bread, abrasive cleaner, finished products, bags"
295,"chicken, liver loaf, snack products, misc. beverages, cream cheese, syrup"
296,"misc. beverages, frozen potato products, brandy, liver loaf, cream cheese, bottled beer, curd"
297,"rice, frozen fish, butter milk, chicken, tropical fruit, sparkling wine"
298,"liver loaf, snack products, bags, finished products, syrup, decalcifier, canned beer"
299,"curd, sparkling wine"
300,"processed cheese, snack products, decalcifier"
301,"curd, misc. beverages, organic products, snack products, abrasive cleaner"
302,"decalcifier, tropical fruit, organic products, baby cosmetics, bottled beer"
303,"semi-finished bread, baby cosmetics, frozen potato products"
304,"chicken, tropical fruit, brandy, misc. beverages, frozen fish"
305,"prosecco, bags, bottled beer"
306,"snack products, canned beer"
307,"bottled beer, bags, baby cosmetics, salt"
308,"snack products, processed cheese"
309,"brandy, decalcifier, tropical fruit, hard cheese, organic products, curd, abrasive cleaner"
310,"brandy, sparkling wine, decalcifier, processed cheese, whipped/sour cream, finished products, prosecco"
311,"semi-finished bread, cream"
312,"hard cheese, rice"
313,"specialty cheese, decalcifier, processed cheese"
314,"baby cosmetics, tropical fruit, abrasive cleaner, syrup, cream cheese, snack products"
315,"cream, chicken, syrup, curd, baby cosmetics, canned beer"
316,"hard cheese, frozen potato products, curd, snack products, syrup"
317,"prosecco, syrup, decalcifier, frozen potato products"
318,"syrup, curd, abrasive cleaner, frozen fish"
319,"organic products, liver loaf, butter milk, frozen fish, curd, hard cheese"
320,"prosecco, bags, cream, sparkling wine, finished products, misc. beverages"
321,"bottled beer, semi-finished bread"
322,"snack products, specialty cheese, processed cheese"
323,"canned beer, salt, tropical fruit, whipped/sour cream, abrasive cleaner, baby cosmetics"
324,"snack products, butter milk, curd, decalcifier"
325,"baby cosmetics, brandy, curd, whipped/sour cream, bottled beer"
326,"prosecco, bottled beer, frozen fish, decalcifier, snack products"
327,"syrup, organic products, misc. beverages, bags, frozen potato products, processed cheese, rice"
328,"baby cosmetics, finished products, cream"
329,"frozen potato products, decalcifier, processed cheese, baby cosmetics, specialty cheese, bags, misc. beverages"
330,"salt, misc. beverages, liver loaf, rice, decalcifier"
331,"snack products, prosecco, canned beer, syrup"
332,"syrup, sparkling wine"
333,"rice, cream, cream cheese, processed cheese, baby cosmetics, abrasive cleaner"
334,"processed cheese, syrup, abrasive cleaner, sparkling wine, rice, liver loaf"
335,"specialty cheese, syrup, chicken, bags, snack products"
336,"misc. beverages, organic products, baby cosmetics, tropical fruit, syrup, hard cheese"
337,"snack products, rice, abrasive cleaner, misc. beverages, prosecco, processed cheese"
338,"cream cheese, bottled beer, brandy, specialty cheese, finished products, decalcifier, bags"
339,"salt, curd, hard cheese, frozen potato products, processed cheese, decalcifier, butter milk"
340,"frozen potato products, finished products, specialty cheese, prosecco"
341,"organic products, tropical fruit, semi-finished bread, specialty cheese, syrup"
342,"misc. beverages, baby cosmetics, decalcifier, hard cheese, frozen potato products"
343,"finished products, canned beer"
344,"baby cosmetics, butter milk, bags"
345,"syrup, whipped/sour cream, chicken"
346,"rice, baby cosmetics, liver loaf"
347,"bottled beer, liver loaf"
348,"tropical fruit, canned beer"
349,"hard cheese, misc. beverages, snack products"
350,"semi-finished bread, sparkling wine, abrasive cleaner"
351,"bags, semi-finished bread, specialty cheese, sparkling wine, frozen potato products"
352,"salt, prosecco, rice, syrup, tropical fruit"
353,"bottled beer, snack products"
354,"organic products, salt, baby cosmetics"
355,"decalcifier, tropical fruit, chicken, semi-finished bread, processed cheese, organic products, syrup"
356,"tropical fruit, bottled beer, rice"
357,"baby cosmetics, syrup, semi-finished bread"
358,"syrup, bags, baby cosmetics"
359,"canned beer, cream, decalcifier"
360,"whipped/sour cream, abrasive cleaner, curd"
361,"frozen potato products, baby cosmetics, cream cheese, semi-finished bread, liver loaf, rice, cream"
362,"syrup, misc. beverages, sparkling wine, tropical fruit"
363,"organic products, hard cheese"
364,"decalcifier, butter milk, hard cheese, abrasive cleaner, cream cheese, sparkling wine, cream"
365,"decalcifier, whipped/sour cream, bottled beer, semi-finished bread, frozen fish, frozen potato products"
366,"misc. beverages, frozen fish, cream cheese, salt"
367,"finished products, butter milk, frozen fish, cream cheese, canned beer, salt"
368,"whipped/sour cream, curd, frozen potato products, canned beer, liver loaf, snack products, tropical fruit"
369,"semi-finished bread, chicken, decalcifier, liver loaf, cream cheese, processed cheese"
370,"bottled beer, abrasive cleaner"
371,"cream, prosecco, finished products, syrup"
372,"tropical fruit, curd, specialty cheese, hard cheese, organic products, liver loaf"
373,"processed cheese, decalcifier, liver loaf, sparkling wine, bags, cream cheese, cream"
374,"frozen potato products, abrasive cleaner"
375,"finished products, liver loaf, abrasive cleaner, bags, frozen fish, bottled beer, cream cheese"
376,"curd, rice, salt"
377,"salt, liver loaf"
378,"frozen potato products, salt, sparkling wine, butter milk"
379,"baby cosmetics, sparkling wine, prosecco"
380,"hard cheese, specialty cheese, misc. beverages, cream, curd, decalcifier, liver loaf"
381,"bags, misc. beverages, bottled beer, whipped/sour cream"
382,"organic products, canned beer, brandy, tropical fruit, curd, prosecco"
383,"rice, frozen potato products, bags, frozen fish"
384,"hard cheese, chicken"
385,"tropical fruit, curd"
386,"curd, whipped/sour cream, cream cheese, baby cosmetics, specialty cheese, misc. beverages"
387,"canned beer, hard cheese, organic products"
388,"abrasive cleaner, sparkling wine, liver loaf, decalcifier, specialty cheese"
389,"bags, hard cheese, canned beer, salt, semi-finished bread, abrasive cleaner"
390,"salt, syrup, bottled beer, organic products, cream, prosecco, frozen potato products"
391,"bottled beer, cream, prosecco, organic products, finished products, salt, canned beer"
392,"tropical fruit, semi-finished bread, curd"
393,"curd, misc. beverages, tropical fruit, processed cheese"
394,"tropical fruit, bottled beer, baby cosmetics, canned beer, whipped/sour cream, processed cheese"
395,"canned beer, cream"
396,"baby cosmetics, bags, brandy, liver loaf"
397,"bottled beer, organic products, cream, rice, bags, decalcifier"
398,"processed cheese, liver loaf, abrasive cleaner"
399,"tropical fruit, whipped/sour cream, chicken, salt"
400,"syrup, snack products, whipped/sour cream"
401,"processed cheese, sparkling wine, misc. beverages, salt"
402,"semi-finished bread, curd, organic products, cream"
403,"processed cheese, syrup, sparkling wine"
404,"hard cheese, whipped/sour cream, cream, snack products, finished products, salt, sparkling wine"
405,"misc. beverages, snack products, cream cheese, abrasive cleaner"
406,"specialty cheese, rice"
407,"curd, butter milk, processed cheese"
408,"sparkling wine, decalcifier, finished products, cream, abrasive cleaner"
409,"semi-finished bread, finished products, hard cheese, canned beer, whipped/sour cream"
410,"cream, curd, abrasive cleaner, sparkling wine, cream cheese"
411,"bottled beer, frozen potato products"
412,"bottled beer, finished products, cream cheese, butter milk, tropical fruit"
413,"frozen fish, rice, decalcifier, misc. beverages, frozen potato products"
414,"rice, semi-finished bread, abrasive cleaner, decalcifier, sparkling wine, misc. beverages"
415,"tropical fruit, finished products, snack products, whipped/sour cream, decalcifier, semi-finished bread, cream cheese"
416,"chicken, butter milk, processed cheese, curd, canned beer"
417,"whipped/sour cream, cream cheese, canned beer"
418,"misc. beverages, baby cosmetics, sparkling wine, rice, canned beer, whipped/sour cream"
419,"prosecco, misc. beverages, cream cheese, butter milk, snack products, cream, specialty cheese"
420,"rice, prosecco, hard cheese, curd, specialty cheese, tropical fruit"
421,"chicken, finished products, syrup, specialty cheese, frozen fish, bags, snack products"
422,"cream, curd, butter milk, prosecco"
423,"liver loaf, tropical fruit, bottled beer, butter milk"
424,"processed cheese, specialty cheese, frozen potato products, brandy, sparkling wine"
425,"abrasive cleaner, processed cheese, cream, frozen potato products, hard cheese, snack products, bottled beer"
426,"syrup, brandy, decalcifier, finished products, specialty cheese"
427,"sparkling wine, frozen potato products"
428,"rice, bags"
429,"frozen potato products, brandy, canned beer, rice"
430,"finished products, cream cheese, bottled beer, brandy, tropical fruit, organic products, specialty cheese"
431,"bags, syrup, semi-finished bread, processed cheese, specialty cheese, curd, salt"
432,"frozen fish, canned beer, rice, prosecco"
433,"abrasive cleaner, liver loaf, finished products, specialty cheese, baby cosmetics, curd"
434,"organic products, curd, butter milk"
435,"semi-finished bread, brandy, salt, hard cheese"
436,"misc. beverages, bottled beer, cream cheese, processed cheese, salt"
437,"baby cosmetics, chicken, misc. beverages"
438,"bags, frozen potato products, bottled beer, semi-finished bread, curd"
439,"tropical fruit, sparkling wine, butter milk, abrasive cleaner"
440,"frozen potato products, bottled beer, sparkling wine, processed cheese, snack products, frozen fish, butter milk"
441,"brandy, rice, cream, processed cheese, abrasive cleaner, semi-finished bread, snack products"
442,"liver loaf, canned beer, finished products, organic products, hard cheese, decalcifier"
443,"specialty cheese, cream cheese, frozen fish, snack products, syrup, tropical fruit"
444,"cream cheese, decalcifier, bottled beer, tropical fruit, misc. beverages"
445,"sparkling wine, frozen fish, finished products, baby cosmetics, brandy"
446,"canned beer, semi-finished bread, brandy, curd, cream, sparkling wine"
447,"frozen fish, curd, butter milk, abrasive cleaner, decalcifier, organic products"
448,"bottled beer, liver loaf, abrasive cleaner, brandy, cream, sparkling wine, tropical fruit"
449,"abrasive cleaner, cream, salt, organic products"
450,"chicken, bottled beer, sparkling wine, liver loaf"
451,"cream cheese, misc. beverages, specialty cheese, bags"
452,"finished products, salt, snack products, chicken, frozen fish, prosecco"
453,"snack products, cream cheese, baby cosmetics, chicken, finished products, decalcifier, processed cheese"
454,"brandy, bottled beer, hard cheese, syrup"
455,"tropical fruit, bags, specialty cheese, syrup"
456,"bottled beer, snack products, butter milk, finished products, rice, decalcifier, liver loaf"
457,"whipped/sour cream, prosecco, syrup"
458,"tropical fruit, specialty cheese, sparkling wine, decalcifier, prosecco"
459,"frozen potato products, syrup, rice, liver loaf, salt, hard cheese, curd"
460,"canned beer, chicken, curd, liver loaf, misc. beverages, abrasive cleaner"
461,"decalcifier, butter milk, frozen potato products, rice, cream cheese, abrasive cleaner"
462,"abrasive cleaner, snack products, prosecco"
463,"specialty cheese, frozen fish, bags, sparkling wine"
464,"salt, hard cheese, bottled beer"
465,"liver loaf, sparkling wine, chicken, finished products"
466,"liver loaf, brandy, curd, bags"
467,"cream, misc. beverages, liver loaf, brandy, chicken, bags, canned beer"
468,"finished products, organic products, abrasive cleaner, misc. beverages, frozen potato products, salt"
469,"organic products, salt, semi-finished bread, bottled beer, brandy, chicken"
470,"specialty cheese, cream, whipped/sour cream"
471,"cream, prosecco, tropical fruit, snack products, misc. beverages, specialty cheese"
472,"liver loaf, bottled beer, processed cheese, salt"
473,"specialty cheese, rice, syrup, misc. beverages, liver loaf"
474,"frozen potato products, tropical fruit"
475,"hard cheese, butter milk"
476,"syrup, frozen fish, whipped/sour cream, prosecco, decalcifier, salt, tropical fruit"
477,"cream, liver loaf, whipped/sour cream, bags, finished products, cream cheese"
478,"syrup, liver loaf"
479,"syrup, baby cosmetics, bottled beer, tropical fruit, cream cheese, brandy"
480,"decalcifier, bottled beer, frozen potato products, brandy"
